"","Rank","Title","Lifetime_Gross","Year"
"1","Rank
            ","Title
            ","Lifetime Gross
            ","Year
            "
"2","1","Avatar","$2,922,917,914","2009"
"3","2","Avengers: Endgame","$2,797,501,328","2019"
"4","3","Titanic","$2,201,647,264","1997"
"5","4","Star Wars: Episode VII - The Force Awakens","$2,069,521,700","2015"
"6","5","Avengers: Infinity War","$2,048,359,754","2018"
"7","6","Spider-Man: No Way Home","$1,916,306,995","2021"
"8","7","Jurassic World","$1,671,537,444","2015"
"9","8","The Lion King","$1,663,250,487","2019"
"10","9","The Avengers","$1,518,815,515","2012"
"11","10","Furious 7","$1,515,341,399","2015"
"12","11","Top Gun: Maverick","$1,488,576,503","2022"
"13","12","Frozen II","$1,450,026,933","2019"
"14","13","Avengers: Age of Ultron","$1,402,809,540","2015"
"15","14","Black Panther","$1,382,248,826","2018"
"16","15","Harry Potter and the Deathly Hallows: Part 2","$1,342,359,942","2011"
"17","16","Star Wars: Episode VIII - The Last Jedi","$1,332,698,830","2017"
"18","17","Jurassic World: Fallen Kingdom","$1,310,466,296","2018"
"19","18","Beauty and the Beast","$1,305,611,599","2017"
"20","19","Frozen","$1,304,550,716","2013"
"21","20","Incredibles 2","$1,243,089,244","2018"
"22","21","The Fate of the Furious","$1,236,005,118","2017"
"23","22","Iron Man 3","$1,214,811,252","2013"
"24","23","Minions","$1,159,444,662","2015"
"25","24","Captain America: Civil War","$1,153,337,496","2016"
"26","25","Aquaman","$1,148,528,393","2018"
"27","26","The Lord of the Rings: The Return of the King","$1,146,436,214","2003"
"28","27","Spider-Man: Far from Home","$1,131,927,996","2019"
"29","28","Captain Marvel","$1,128,462,972","2019"
"30","29","Transformers: Dark of the Moon","$1,123,794,079","2011"
"31","30","Jurassic Park","$1,109,802,321","1993"
"32","31","Skyfall","$1,108,569,499","2012"
"33","32","Transformers: Age of Extinction","$1,104,054,072","2014"
"34","33","The Dark Knight Rises","$1,081,169,825","2012"
"35","34","Joker","$1,074,458,282","2019"
"36","35","Star Wars: Episode IX - The Rise of Skywalker","$1,074,149,279","2019"
"37","36","Toy Story 4","$1,073,394,593","2019"
"38","37","Toy Story 3","$1,066,970,811","2010"
